     Date	   HighScore
28/05/2021 20:26     144
28/05/2021 21:02     137
28/05/2021 21:17     136
28/05/2021 21:27     123
28/05/2021 21:30     149
28/05/2021 21:39     136
28/05/2021 22:06     166
28/05/2021 22:36     234
28/05/2021 22:56     154
28/05/2021 23:34     131
28/05/2021 23:38     127
28/05/2021 23:56     158
28/05/2021 23:59     159
29/05/2021 00:06     186
29/05/2021 00:13     126
29/05/2021 00:13     125
29/05/2021 00:15     126
29/05/2021 00:26     144
30/05/2021 20:30     136
30/05/2021 20:57     148
30/05/2021 21:42     122
30/05/2021 22:00     149
30/05/2021 22:06     138
30/05/2021 22:08     138
30/05/2021 23:40     128
31/05/2021 08:53     150
31/05/2021 10:56     129
01/06/2021 20:00     146
01/06/2021 20:17     131
03/06/2021 09:03     165
03/06/2021 09:05     142
03/06/2021 09:11     165
03/06/2021 12:00     128
08/06/2021 11:28     129
